"Gross national income (GNI) per capita (constant 2017 PPP$)"
"Dimension: Income/composition of resources"
"SDG 8.5 By 2030, achieve full and productive employment and decent work for all women and men,including for young people and persons with disabilities, and equal pay for work of equal value"
"Definition: Aggregate income of an economy generated by its production and its ownership of factors of production, less the incomes paid for the use of factors of production owned by the rest of the world, converted to international dollars using PPP rates, divided by midyear population."
"Source: World Bank (2020a), IMF (2020) and United Nations Statistics Division (2020b)"
""
"HDI Rank","Country","1990","","1991","","1992","","1993","","1994","","1995","","1996","","1997","","1998","","1999","","2000","","2001","","2002","","2003","","2004","","2005","","2006","","2007","","2008","","2009","","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017","","2018","","2019",""
"43"," Croatia","16746","","13287","","11667","","10839","","11595","","14815","","15866","","17060","","17320","","17024","","17804","","19081","","20114","","20898","","22106","","22877","","23971","","25305","","25505","","23531","","23306","","23346","","22866","","23128","","23180","","24300","","24715","","26205","","27151","","28070",""
"70"," Cuba","5271","","4686","","4136","","3501","","3509","","3555","","3826","","3917","","3912","","4134","","4352","","4496","","4549","","4707","","4962","","5524","","6211","","6636","","6911","","6953","","7151","","7395","","7618","","7823","","7879","","8218","","8242","","8388","","8578","","8621","b"
"33"," Cyprus","25033","","24590","","26162","","25748","","26677","","27160","","27124","","27265","","31123","","29570","","30070","","31382","","32901","","33708","","34345","","35692","","36635","","37335","","39674","","38368","","37691","","38404","","35342","","32941","","32194","","34160","","35072","","36616","","37459","","38207",""
"27"," Czechia","23867","","21083","","21048","","20996","","21603","","22596","","23427","","23325","","23269","","23545","","24568","","25097","","25363","","26353","","27277","","29067","","30498","","31896","","32468","","30524","","31046","","31496","","31662","","31556","","32088","","33720","","34562","","36124","","37294","","38109",""
"162"," Côte d'Ivoire","3900","","3718","","3629","","3545","","3565","","3709","","3775","","4003","","4091","","3962","","3870","","3801","","3660","","3565","","3548","","3534","","3508","","3493","","3512","","3540","","3527","","3292","","3576","","3757","","4057","","4322","","4513","","4687","","4866","","5069",""
"10"," Denmark","38022","","38392","","39101","","39166","","41168","","42379","","43293","","44585","","45582","","46939","","47958","","48559","","48737","","48959","","50632","","52016","","54083","","53963","","53693","","50728","","51778","","52486","","52487","","53227","","54071","","54651","","55649","","56235","","57553","","58662",""
"166"," Djibouti","1852","","1754","","1811","","1900","","1814","","1900","","1760","","1792","","1738","","1786","","1770","","1759","","1795","","1927","","1989","","2024","","2248","","2327","","2410","","2706","","2977","","3304","","3675","","4092","","4398","","4700","","4950","","5103","","5341","","5689",""
"94"," Dominica","7741","","7882","","8112","","8114","","8077","","8264","","8342","","8690","","9118","","8860","","8576","","9052","","8752","","9451","","9569","","9621","","10484","","11004","","11942","","11947","","11712","","11700","","11363","","11383","","11891","","11529","","11937","","11052","","11276","","11884",""
"88"," Dominican Republic","5940","","5857","","6453","","6692","","6789","","7049","","7396","","7920","","8307","","8647","","8926","","9012","","9286","","8811","","8752","","9752","","10549","","11176","","11558","","11520","","12330","","12531","","12709","","13069","","13816","","14697","","15464","","15942","","16927","","17591",""
"86"," Ecuador","7643","","7900","","7993","","8054","","8244","","8277","","8217","","8427","","8490","","7743","","7663","","7967","","8191","","8250","","8748","","9108","","9386","","9427","","10015","","9945","","10187","","10808","","11263","","11647","","11892","","11693","","11346","","11360","","11256","","11044",""
"116"," Egypt","5930","","6058","","6187","","6234","","6349","","6520","","6716","","6944","","7210","","7465","","7781","","7916","","7967","","8053","","8236","","8373","","8859","","9360","","9845","","10039","","10136","","10157","","10045","","10051","","10099","","10383","","10646","","10800","","11079","","11466",""
"124"," El Salvador","5124","","5126","","5462","","5710","","5932","","6146","","6117","","6223","","6338","","6351","","6404","","6415","","6450","","6471","","6489","","6632","","6937","","7041","","7239","","6985","","7123","","7355","","7447","","7541","","7635","","7765","","7879","","7984","","8141","","8359",""
"145"," Equatorial Guinea","3565","","3549","","3420","","3716","","3661","","4000","","4899","","8787","","10524","","13571","","10380","","12199","","15210","","14435","","16047","","19245","","24395","","27402","","26795","","26908","","19742","","20366","","21808","","21134","","20704","","21324","","19423","","16604","","14897","","13944",""
"180"," Eritrea","1342","","1495","","1670","","1901","","2166","","2670","","2676","","2941","","3191","","3218","","3121","","2631","","2724","","2669","","2478","","2432","","2336","","2311","","2034","","2074","","2084","","2235","","2365","","2452","","2499","","2540","","2561","","2661","","2740","","2793","c"
"29"," Estonia","16828","","15646","","12878","","11867","","11948","","12877","","13650","","15076","","15991","","15904","","17242","","18249","","19620","","21069","","22704","","25226","","27489","","29185","","28191","","24688","","24830","","26825","","28030","","28996","","29803","","30529","","31299","","33018","","34643","","36019",""
"138"," Eswatini (Kingdom of)","5422","","5410","","5469","","5356","","5116","","5574","","5847","","5917","","5723","","5908","","5755","","6051","","5884","","5949","","6280","","7045","","7015","","7339","","7242","","7159","","7152","","7608","","7976","","8348","","8302","","8490","","7955","","7995","","7844","","7919",""
"173"," Ethiopia","763","","683","","600","","652","","651","","671","","741","","741","","690","","705","","726","","763","","753","","716","","790","","863","","930","","1010","","1088","","1149","","1257","","1358","","1434","","1542","","1652","","1772","","1889","","2010","","2094","","2207",""
"93"," Fiji","8788","","8777","","8691","","8602","","8785","","9146","","9490","","9143","","9022","","9744","","9957","","10588","","10847","","11073","","11906","","10794","","10747","","10634","","10654","","10624","","10569","","10813","","10875","","11589","","11891","","12228","","12545","","12611","","12966","","13009",""
"11"," Finland","32063","","29767","","28321","","27828","","29137","","30507","","31766","","33957","","35540","","37391","","39633","","40827","","41571","","41912","","44042","","44977","","46837","","48807","","48900","","45215","","46463","","47002","","46163","","45512","","45422","","45516","","46396","","47491","","48360","","48511",""
"26"," France","33981","","34118","","34536","","34202","","34824","","35432","","35989","","36832","","38048","","39415","","40512","","41106","","40966","","41127","","42003","","42515","","43371","","44146","","44092","","42662","","43282","","44156","","43880","","43932","","44115","","44454","","44806","","45851","","46537","","47173",""
"119"," Gabon","16794","","17388","","16032","","16052","","16578","","16744","","16869","","17267","","18100","","15751","","13982","","14761","","14909","","14628","","13485","","14164","","12682","","12759","","11744","","12313","","12105","","11978","","13011","","13457","","14659","","14165","","14168","","14058","","13811","","13930",""
"172"," Gambia","2257","","2248","","2250","","2220","","2158","","2120","","2144","","2065","","2075","","2137","","2191","","2230","","2143","","2147","","2298","","2174","","2091","","2097","","2173","","2243","","2307","","2046","","2092","","2086","","1991","","2009","","1999","","2034","","2106","","2168",""
"61"," Georgia","10664","","8448","","5057","","3369","","3109","","3221","","3673","","4431","","4779","","5041","","5178","","5359","","5702","","6349","","6809","","7462","","8269","","9189","","9302","","9036","","9582","","10268","","11197","","11545","","12112","","12335","","12382","","12924","","13701","","14429",""
