SUJ,COUNTRY,YEAR,IDHR,IGINI,IPIBPC,IDH,CONTCORR,EGOB,ESTPOL,CALIREG,RJUE,VOZYREND,IPC,ILIB,IDEM
7,Cuba,1/1/2017,0.845146733,43.4,0.657,0.777,0.2656265,-0.181841,0.6469012,-1329062.00,-0.4313568,-1551914.00,47,6.5,30.00
7,Cuba,1/1/2018,0.845146733,43.4,0.658,0.778,0.1654153,-0.2448378,0.6523342,-1455965.00,-0.4443496,-1444819.00,47,6.5,28.4
8,Dominican Republic,1/1/2007,0.685167863,49.3,0.695,0.689,-0.747674,-0.6747107,-0.07755,-0.2375534,-0.6136354,0.1970037,30,2,61.3
8,Dominican Republic,1/1/2008,0.688631977,48.7,0.7,0.692,-0.7259653,-0.6196099,-0.0370049,-0.192823,-0.6602893,0.1647324,30,2,62.00
8,Dominican Republic,1/1/2009,0.692096092,47.8,0.699,0.694,-0.7780666,-0.6126065,-0.0014113,-0.1925166,-0.7726221,0.0897983,30,2,62.00
8,Dominican Republic,1/1/2010,0.696710844,47.2,0.709,0.701,-0.8436301,-0.6435439,-0.044954,-0.1522817,-0.8083335,0.0738616,30,2,62.00
8,Dominican Republic,1/1/2011,0.700888008,47.1,0.712,0.704,-0.8120974,-0.5907013,-0.0004819,-0.1954342,-0.7734064,0.0904333,25.9,2,64.9
8,Dominican Republic,1/1/2012,0.705498405,46.2,0.714,0.708,-0.8599598,-0.5102426,0.2523668,-0.1042744,-0.6877707,0.1245922,32,2,67.4
8,Dominican Republic,1/1/2013,0.708962622,45.7,0.718,0.712,-0.8745857,-0.4675454,0.2074287,-0.0710712,-0.5323906,0.1153695,29,2.5,66.7
8,Dominican Republic,1/1/2014,0.722782817,45.3,0.727,0.724,-0.8161026,-0.4352699,0.1459345,-0.0368152,-0.4056694,0.1889606,32,2.5,66.7
8,Dominican Republic,1/1/2015,0.730744826,45.3,0.737,0.733,-0.8184461,-0.3573123,0.2367064,-0.037778,-0.5126879,0.1542685,33,3,66.7
8,Dominican Republic,1/1/2016,0.73421046,44.9,0.744,0.738,-0.7563761,-0.2637113,0.252106,-0.065245,-0.3951495,0.1806174,31,3,66.6
8,Dominican Republic,1/1/2017,0.736669532,45.2,0.749,0.741,-0.7389133,-0.3700335,0.1605222,-0.0788678,-0.4179761,0.1574749,29,3,65.4
8,Dominican Republic,1/1/2018,0.738006098,45.3,0.758,0.745,-0.74949,-0.4002573,0.0347933,-0.0771244,-0.3962312,0.1374327,30,3,65.4
9,Ecuador,1/1/2007,0.724716496,51.4,0.671,0.706,-0.7718189,-0.8693714,-0.8144428,-1141479.00,-1035035.00,-0.1611159,21,3,56.4
9,Ecuador,1/1/2008,0.726590669,50.5,0.68,0.711,-0.6871038,-0.8649213,-0.7289105,-1138787.00,-1167481.00,-0.2223047,20,3,56.4
9,Ecuador,1/1/2009,0.72962319,49.2,0.679,0.712,-0.8042204,-0.7942843,-0.6731879,-1296207.00,-1251499.00,-0.2503612,22,3,57.7
9,Ecuador,1/1/2010,0.733811965,47.8,0.683,0.716,-0.773099,-0.7165983,-0.5866745,-117082.00,-1204076.00,-0.2310853,25,3,57.2
9,Ecuador,1/1/2011,0.769054614,47.2,0.691,0.742,-0.7084506,-0.5814193,-0.6865575,-1031473.00,-1205298.00,-0.2933648,26.5,3,57.8
9,Ecuador,1/1/2012,0.762609992,46.5,0.698,0.74,-0.5780621,-0.5048822,-0.5703065,-1017313.00,-1134688.00,-0.2961141,32,3,58.7
9,Ecuador,1/1/2013,0.776741913,46.00,0.703,0.751,-0.5709541,-0.501632,-0.1786567,-0.9281889,-0.9682715,-0.2527218,35,3,58.7
9,Ecuador,1/1/2014,0.7731106,45.8,0.706,0.75,-0.7549306,-0.4729435,-0.0185332,-100722.00,-1058418.00,-0.2024652,33,3,58.7
9,Ecuador,1/1/2015,0.7870756,45.6,0.703,0.758,-0.6712533,-0.4423296,-0.1439559,-1157369.00,-1028903.00,-0.2117547,32,3,58.1
9,Ecuador,1/1/2016,0.78678968,45.2,0.699,0.756,-0.6803263,-0.430313,-0.085358,-1018454.00,-0.7612534,-0.2484729,31,3.5,60.2
9,Ecuador,1/1/2017,0.788602561,45.2,0.699,0.757,-0.5996184,-0.3218437,-0.0748771,-1002314.00,-0.7014174,-0.1736493,32,3,62.7
9,Ecuador,1/1/2018,0.789959493,45.00,0.698,0.758,-0.5617972,-0.2613976,-0.0747498,-0.8901963,-0.6301615,0.0264112,34,3,63.3
10,El Salvador,1/1/2007,0.657107297,46.4,0.619,0.644,-0.3719791,-0.2015099,-0.0063193,0.1926179,-0.6450427,0.0945089,40,2.5,62.2
10,El Salvador,1/1/2008,0.659558185,45.4,0.623,0.647,-0.3617319,-0.1620378,0.0405789,0.207267,-0.6676517,0.1120839,39,2.5,64.00
10,El Salvador,1/1/2009,0.662600936,44.8,0.617,0.647,-0.2503784,-0.0448861,-0.0061894,0.3200334,-0.7476089,0.0576465,34,2.5,64.7
10,El Salvador,1/1/2010,0.679535135,44.1,0.621,0.659,-0.2769412,0.007418,0.0588422,0.3630272,-0.8126204,0.0715443,36,2.5,64.7
10,El Salvador,1/1/2011,0.671892849,43.4,0.626,0.656,-0.2619075,-0.1028972,0.1110012,0.47141,-0.7222229,0.0439498,34.2,2.5,64.7
10,El Salvador,1/1/2012,0.677285021,42.5,0.628,0.66,-0.412717,-0.1271779,0.234584,0.3254577,-0.6986933,-0.0401937,38,2.5,65.3
10,El Salvador,1/1/2013,0.678398113,41.9,0.63,0.662,-0.3539,-0.1152254,-0.0336589,0.3131208,-0.6190593,-0.0130921,38,2.5,65.3
10,El Salvador,1/1/2014,0.675354722,41.5,0.631,0.66,-0.3768737,-0.0327334,-0.02459,0.3188713,-0.4763274,0.1526031,39,2.5,66.4
10,El Salvador,1/1/2015,0.673031946,41.1,0.634,0.66,-0.4236757,-0.2355875,-0.0169974,0.1963225,-0.5850651,0.1523898,39,2.5,66.4
10,El Salvador,1/1/2016,0.675899401,40.4,0.636,0.662,-0.5230461,-0.2850141,-0.0992914,0.0939717,-0.7095168,0.1880289,36,2.5,64.3
10,El Salvador,1/1/2017,0.678349467,40.1,0.638,0.665,-0.5067081,-0.3649472,-0.2600329,-0.1524985,-0.8559342,0.152976,33,2.5,59.6
10,El Salvador,1/1/2018,0.680016176,40.00,0.641,0.667,-0.5911077,-0.4471425,-0.3348508,-0.0387822,-0.8247701,0.0418064,35,2.5,61.5
11,Guatemala,1/1/2007,0.568168989,53.6,0.632,0.588,-0.7421762,-0.5503302,-0.7522722,-0.2287212,-111538.00,-0.1712756,28,3.5,60.7
11,Guatemala,1/1/2008,0.574772129,53.00,0.634,0.594,-0.6476532,-0.5634344,-0.7144668,-0.1782018,-1109739.00,-0.2018256,31,3.5,60.7
11,Guatemala,1/1/2009,0.581360473,52.2,0.631,0.597,-0.5268559,-0.714392,-0.9273503,-0.1505856,-1018172.00,-0.2500028,34,4,60.5
11,Guatemala,1/1/2010,0.588306043,51.4,0.631,0.602,-0.5322092,-0.697995,-0.8529245,-0.152868,-0.9600777,-0.3033077,32,4,58.8
11,Guatemala,1/1/2011,0.594570433,50.7,0.634,0.607,-0.527978,-0.69787,-0.7441414,-0.1333846,-1036425.00,-0.3119646,27.3,3.5,58.8
11,Guatemala,1/1/2012,0.60149813,49.9,0.636,0.613,-0.6587613,-0.7554433,-0.6338202,-0.1723127,-1076314.00,-0.3561386,33,3.5,58.1
11,Guatemala,1/1/2013,0.605373438,49.2,0.639,0.616,-0.6226556,-0.7031401,-0.6741562,-0.2037375,-1083479.00,-0.3665427,29,3.5,58.1
11,Guatemala,1/1/2014,0.644313588,48.8,0.641,0.643,-0.7359639,-0.7288904,-0.6555635,-0.1920252,-0.962234,-0.3375991,32,3.5,59.2
11,Guatemala,1/1/2015,0.647555403,48.5,0.645,0.647,-0.7331991,-0.7110427,-0.6550602,-0.2162642,-0.9472803,-0.3464034,28,4,59.2
11,Guatemala,1/1/2016,0.648894444,48.3,0.646,0.648,-0.7398213,-0.6063933,-0.5425926,-0.2024315,-1019842.00,-0.2918889,28,4,58.6
11,Guatemala,1/1/2017,0.650467524,48.3,0.648,0.649,-0.7398668,-0.6404786,-0.650593,-0.255445,-1059996.00,-0.281272,28,4,56.00
11,Guatemala,1/1/2018,0.652036809,48.3,0.65,0.651,-0.8228126,-0.6820061,-0.541353,-0.1955709,-1050815.00,-0.3424338,27,4,52.6
12,Haiti,1/1/2007,0.48239403,54.8,0.419,0.46,-1279908.00,-1304207.00,-1318481.00,-0.8251184,-1344052.00,-0.6129856,16,4.5,41.9
12,Haiti,1/1/2008,0.487922125,54.00,0.418,0.463,-1206732.00,-1293409.00,-1385095.00,-0.7642485,-127686.00,-0.5870128,14,4.5,41.9
12,Haiti,1/1/2009,0.493449086,53.3,0.421,0.468,-1087965.00,-1490064.00,-0.9564074,-0.9313185,-1319445.00,-0.6571429,18,4.5,40.00
