		1996	1996	1996	1996	1996	1996	1998	1998	1998	1998	1998	1998	2000	2000	2000	2000	2000	2000	2002	2002	2002	2002	2002	2002	2003	2003	2003	2003	2003	2003	2004	2004	2004	2004	2004	2004	2005	2005	2005	2005	2005	2005	2006	2006	2006	2006	2006	2006	2007	2007	2007	2007	2007	2007	2008	2008	2008	2008	2008	2008	2009	2009	2009	2009	2009	2009	2010	2010	2010	2010	2010	2010	2011	2011	2011	2011	2011	2011	2012	2012	2012	2012	2012	2012	2013	2013	2013	2013	2013	2013	2014	2014	2014	2014	2014	2014	2015	2015	2015	2015	2015	2015	2016	2016	2016	2016	2016	2016	2017	2017	2017	2017	2017	2017	2018	2018	2018	2018	2018	2018	2019	2019	2019	2019	2019	2019
Country/Territory	Code	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper
Cook Islands	COK	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	0.65	0.70	1.00	71.78	34.65	95.54	0.65	0.61	1.00	69.80	41.09	93.07	0.68	0.69	1.00	72.28	39.60	95.05	0.64	0.64	1.00	69.86	39.23	94.26	1.13	0.63	1.00	86.60	55.98	100.00	0.95	0.78	1.00	79.90	44.98	100.00	0.51	0.93	1.00	65.07	14.83	100.00	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	-0.78	0.83	1.00	25.12	0.00	66.35	-0.91	0.76	1.00	19.91	0.00	62.56	-0.88	0.77	1.00	21.60	0.00	62.44	-0.94	0.75	1.00	17.84	0.00	61.97	-0.93	0.73	1.00	18.78	0.00	59.62	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
Colombia	COL	-0.75	0.19	9.00	25.63	16.58	38.19	-0.64	0.19	10.00	31.00	18.50	41.00	-0.89	0.16	11.00	23.27	13.37	30.20	-0.72	0.17	12.00	28.71	16.83	38.61	-0.70	0.17	12.00	28.71	17.33	40.59	-0.69	0.15	15.00	29.67	17.22	38.76	-0.62	0.15	15.00	32.06	22.49	40.67	-0.51	0.14	17.00	38.76	26.32	46.89	-0.44	0.14	18.00	40.67	29.67	48.33	-0.40	0.14	18.00	41.83	33.17	50.48	-0.39	0.13	18.00	43.13	32.70	50.24	-0.31	0.13	18.00	45.97	35.55	52.13	-0.26	0.13	19.00	47.42	39.44	53.05	-0.35	0.13	19.00	45.07	34.74	50.70	-0.41	0.13	18.00	41.78	33.33	49.30	-0.29	0.14	16.00	44.71	33.65	55.29	-0.27	0.14	16.00	46.63	36.06	56.73	-0.28	0.15	15.00	43.75	31.73	52.88	-0.36	0.15	15.00	40.38	30.77	50.48	-0.41	0.14	15.00	38.46	28.85	48.08	-0.42	0.14	15.00	38.46	27.40	47.12
Comoros	COM	-0.88	0.35	3.00	21.61	6.03	40.70	-1.09	0.29	5.00	15.50	4.00	31.00	-1.29	0.26	5.00	9.41	1.49	25.25	-0.95	0.27	5.00	17.82	6.44	36.63	-0.87	0.27	5.00	20.79	7.92	40.59	-1.02	0.24	6.00	15.31	6.22	33.01	-1.00	0.24	6.00	17.22	7.18	33.01	-0.95	0.24	6.00	18.18	7.66	34.93	-1.01	0.24	6.00	14.83	5.74	31.10	-1.03	0.20	7.00	15.38	7.21	25.48	-1.13	0.20	8.00	12.80	4.27	22.27	-1.05	0.19	9.00	14.69	5.69	27.49	-1.00	0.19	9.00	15.96	6.57	29.11	-1.02	0.19	9.00	16.43	7.04	28.64	-0.94	0.18	10.00	18.31	10.33	31.92	-0.89	0.18	9.00	18.27	7.69	32.69	-0.82	0.19	8.00	21.63	10.58	36.06	-1.00	0.22	8.00	16.35	8.17	29.81	-1.05	0.21	8.00	13.94	6.73	25.00	-1.08	0.22	8.00	12.02	6.25	23.56	-1.09	0.22	8.00	12.50	5.29	24.04
Cape Verde	CPV	1.04	0.44	3.00	81.91	61.31	96.48	0.83	0.34	5.00	76.00	61.00	90.50	0.78	0.33	5.00	74.26	59.41	88.12	0.34	0.23	7.00	62.87	51.49	72.77	0.29	0.23	7.00	62.38	50.00	71.78	0.36	0.21	8.00	61.72	52.15	70.81	0.40	0.20	8.00	61.72	55.98	71.29	0.65	0.17	9.00	68.42	61.24	78.95	0.63	0.17	9.00	69.86	60.29	79.43	0.58	0.16	9.00	67.31	59.13	74.52	0.54	0.16	9.00	64.93	61.61	72.04	0.47	0.15	10.00	64.45	61.61	69.67	0.51	0.15	11.00	65.73	61.50	71.83	0.52	0.15	11.00	66.67	61.50	71.83	0.54	0.14	12.00	66.20	61.03	73.24	0.63	0.16	11.00	74.52	67.79	78.37	0.59	0.16	11.00	71.15	64.90	77.40	0.35	0.18	10.00	63.46	56.25	74.04	0.42	0.16	10.00	64.90	59.62	75.96	0.45	0.16	10.00	67.79	59.13	75.00	0.52	0.16	10.00	69.71	61.06	77.40
Costa Rica	CRI	0.62	0.20	8.00	68.34	60.80	79.90	0.75	0.21	8.00	74.00	65.00	84.00	0.63	0.16	10.00	70.30	63.37	80.20	0.71	0.18	11.00	71.78	64.36	81.19	0.70	0.18	11.00	72.77	64.85	82.18	0.56	0.16	13.00	67.46	59.33	73.21	0.56	0.16	13.00	66.03	58.85	75.60	0.47	0.16	14.00	63.64	58.85	70.33	0.38	0.16	15.00	60.77	57.89	70.33	0.46	0.15	15.00	63.94	58.65	71.15	0.56	0.15	15.00	66.35	61.61	72.99	0.52	0.15	14.00	65.40	62.09	72.04	0.45	0.15	13.00	62.91	60.56	69.95	0.52	0.15	14.00	65.73	61.50	71.83	0.55	0.15	14.00	66.67	61.50	73.24	0.56	0.15	14.00	72.12	65.38	76.92	0.50	0.15	14.00	69.71	63.46	75.48	0.47	0.16	13.00	68.27	59.13	75.48	0.45	0.16	12.00	67.79	59.62	76.44	0.48	0.15	12.00	69.23	60.10	75.00	0.54	0.15	13.00	70.19	61.54	77.40
Cuba	CUB	-1.14	0.21	6.00	16.08	6.03	24.62	-1.04	0.22	6.00	18.00	6.50	28.50	-1.04	0.18	6.00	17.82	7.43	27.23	-1.17	0.20	8.00	11.88	4.46	22.77	-1.22	0.20	8.00	10.40	3.96	19.31	-1.11	0.19	9.00	14.83	6.22	23.92	-1.08	0.19	9.00	14.83	7.18	27.27	-0.76	0.18	11.00	25.84	13.88	39.71	-0.68	0.17	11.00	29.19	16.27	42.11	-0.82	0.17	10.00	22.60	12.50	36.06	-0.71	0.17	10.00	28.44	17.06	40.76	-0.72	0.17	10.00	28.91	16.11	40.28	-0.69	0.16	10.00	30.05	17.37	42.72	-0.71	0.17	11.00	29.11	16.90	42.25	-0.70	0.17	11.00	30.05	16.90	41.31	-0.66	0.18	10.00	29.81	15.38	41.83	-0.70	0.18	9.00	28.37	13.94	40.38	-0.44	0.20	8.00	34.62	22.60	50.48	-0.43	0.19	8.00	35.10	23.08	50.48	-0.44	0.18	8.00	35.10	23.56	48.56	-0.32	0.18	8.00	43.27	27.88	52.88
Cayman Islands	CYM	1.46	0.43	1.00	90.95	70.35	100.00	1.50	0.40	1.00	91.50	76.50	100.00	1.52	0.33	1.00	91.58	80.69	100.00	1.50	0.39	1.00	90.59	77.72	100.00	1.26	0.36	1.00	86.14	71.78	95.05	1.16	0.35	1.00	86.12	67.46	94.74	0.86	0.37	1.00	78.47	58.85	90.91	1.08	0.41	1.00	85.65	62.68	93.78	1.11	0.38	1.00	85.17	63.64	92.82	1.13	0.36	1.00	85.10	65.87	93.27	0.90	0.23	2.00	78.20	63.98	87.20	0.90	0.24	2.00	79.15	64.93	87.20	0.88	0.22	2.00	77.00	65.73	86.38	0.90	0.23	2.00	76.53	65.26	86.38	0.90	0.24	2.00	77.46	65.73	86.38	0.59	0.28	2.00	73.08	61.54	81.73	0.82	0.27	2.00	77.40	65.87	85.10	0.80	0.26	2.00	77.88	64.42	86.06	0.78	0.23	2.00	76.92	63.94	85.10	0.77	0.21	2.00	76.44	66.35	84.62	0.77	0.21	2.00	77.40	65.38	84.13
Cyprus	CYP	0.86	0.21	6.00	78.39	63.32	86.43	0.98	0.22	6.00	81.00	70.00	90.00	1.04	0.18	6.00	83.66	73.27	88.61	1.02	0.21	6.00	81.68	69.80	88.12	0.97	0.21	7.00	80.20	71.29	88.61	0.92	0.19	8.00	79.43	68.90	87.08	0.89	0.18	8.00	79.90	66.51	86.60	1.11	0.18	9.00	87.08	70.81	89.95	1.12	0.19	9.00	85.65	74.16	89.95	1.22	0.18	9.00	87.50	80.77	90.87	1.21	0.16	10.00	86.73	79.62	90.52	1.22	0.16	10.00	87.20	79.62	90.05	1.07	0.16	10.00	83.10	74.18	87.32	1.10	0.17	10.00	84.04	73.71	88.26	1.04	0.17	10.00	82.16	72.77	86.85	1.08	0.18	9.00	82.69	76.92	86.54	1.04	0.18	9.00	81.73	75.00	86.54	0.72	0.20	8.00	75.48	64.90	82.21	0.88	0.18	9.00	79.81	72.12	85.58	0.75	0.17	9.00	75.96	68.75	81.25	0.76	0.17	9.00	76.44	66.83	81.25
Czech Republic	CZE	0.92	0.18	9.00	79.90	68.34	86.43	0.92	0.18	10.00	80.50	70.00	85.00	0.64	0.15	12.00	71.29	64.36	79.70	0.86	0.16	13.00	77.72	68.81	83.66	0.87	0.16	13.00	78.71	69.31	84.16	0.78	0.15	13.00	72.73	66.51	83.25	0.87	0.15	12.00	79.43	67.46	85.65	0.87	0.15	14.00	76.56	67.46	87.08	0.91	0.14	15.00	79.90	71.29	85.65	0.91	0.13	15.00	80.77	70.67	85.10	0.96	0.14	14.00	81.04	70.62	86.26	0.95	0.13	15.00	80.09	70.62	85.31	1.04	0.13	16.00	82.16	74.18	86.38	1.04	0.13	16.00	82.16	73.71	86.38	1.04	0.13	15.00	82.63	73.71	86.38	1.15	0.14	14.00	84.62	78.85	86.54	1.15	0.14	14.00	84.13	79.33	87.98	1.04	0.16	12.00	82.21	76.44	87.02	1.12	0.15	12.00	83.65	79.33	88.46	1.05	0.14	12.00	81.73	77.40	86.54	1.05	0.14	12.00	81.73	77.40	87.02
Germany	DEU	1.61	0.19	8.00	93.97	88.94	99.50	1.66	0.20	8.00	93.50	89.50	99.00	1.64	0.16	9.00	93.56	89.11	99.01	1.67	0.18	9.00	93.56	88.12	100.00	1.67	0.18	9.00	93.56	89.60	99.50	1.64	0.17	9.00	93.78	89.47	98.09	1.66	0.17	9.00	94.26	89.95	98.56	1.78	0.16	11.00	95.22	90.43	100.00	1.77	0.16	11.00	95.22	90.43	100.00	1.75	0.16	11.00	94.23	89.90	100.00	1.66	0.16	11.00	92.89	88.63	98.10	1.63	0.16	11.00	92.42	88.15	98.10	1.62	0.14	13.00	91.55	88.73	97.65	1.66	0.15	13.00	92.02	89.20	98.59	1.65	0.15	12.00	92.02	88.26	98.12	1.86	0.16	11.00	93.75	88.94	100.00	1.79	0.16	11.00	93.27	89.42	99.52	1.62	0.17	10.00	91.83	87.50	97.12	1.61	0.16	10.00	91.35	87.02	97.60	1.63	0.16	10.00	91.35	88.46	98.08	1.62	0.16	10.00	92.31	87.98	96.63
Djibouti	DJI	-0.97	0.32	4.00	18.59	5.53	38.19	-0.85	0.27	6.00	23.00	8.00	37.50	-0.89	0.24	6.00	23.76	9.90	35.15	-0.92	0.24	6.00	19.31	7.43	36.14	-0.87	0.24	6.00	21.29	9.41	38.61	-0.85	0.22	7.00	22.01	11.00	37.32	-0.96	0.22	8.00	19.14	8.61	33.01	-0.88	0.21	8.00	22.49	10.53	37.32	-0.76	0.21	8.00	25.36	12.92	41.63	-0.64	0.20	9.00	32.21	17.79	45.19	-0.68	0.16	10.00	30.33	17.54	42.18	-0.73	0.16	10.00	28.44	16.11	39.34	-0.81	0.15	10.00	24.88	14.55	33.33	-0.79	0.16	10.00	24.88	15.02	36.62	-0.77	0.15	11.00	26.29	15.02	38.97	-0.87	0.16	10.00	19.23	9.13	31.73	-0.92	0.16	9.00	17.79	8.17	30.29	-0.98	0.19	8.00	16.83	8.17	27.40	-0.91	0.17	8.00	17.79	9.62	29.33	-0.92	0.16	9.00	17.31	9.13	27.40	-0.91	0.16	9.00	18.27	9.13	27.40
Dominica	DMA	0.84	0.39	2.00	77.89	58.29	91.46	0.68	0.34	3.00	73.00	55.50	85.00	0.63	0.29	3.00	70.79	57.43	84.16	0.76	0.32	3.00	74.26	59.41	86.63	0.74	0.29	3.00	74.75	61.39	84.65	0.62	0.26	4.00	69.38	59.33	83.25	0.62	0.28	4.00	68.42	58.37	83.73	0.70	0.29	4.00	69.86	58.85	88.04	0.65	0.28	4.00	70.81	58.85	85.17	0.64	0.22	4.00	70.19	59.13	82.69	0.71	0.22	4.00	69.19	61.61	83.89	0.71	0.22	4.00	69.67	62.56	82.94	0.65	0.21	4.00	68.54	61.97	79.81	0.64	0.21	4.00	69.01	61.97	80.75	0.65	0.21	4.00	70.89	61.03	80.75	0.49	0.23	3.00	70.19	61.54	78.37	0.67	0.21	4.00	74.04	64.90	81.25	0.61	0.26	4.00	72.60	59.13	81.73	0.65	0.25	4.00	75.00	60.10	82.69	0.67	0.26	3.00	75.00	61.06	83.17	0.69	0.26	3.00	75.00	61.06	83.65
Denmark	DNK	1.82	0.19	8.00	97.99	92.96	100.00	1.88	0.20	8.00	98.00	92.00	100.00	1.84	0.16	8.00	97.52	92.57	100.00	1.92	0.18	9.00	99.01	92.57	100.00	1.96	0.18	9.00	99.50	93.07	100.00	1.95	0.17	9.00	99.04	94.26	100.00	1.95	0.17	9.00	99.04	94.26	100.00	2.00	0.17	10.00	100.00	93.30	100.00	2.01	0.17	10.00	100.00	92.82	100.00	1.97	0.17	10.00	99.52	92.79	100.00	1.92	0.16	11.00	98.58	92.89	100.00	1.90	0.16	11.00	99.05	92.89	100.00	1.92	0.15	11.00	99.06	92.96	100.00	1.87	0.15	12.00	98.12	91.08	100.00	1.90	0.15	12.00	98.59	92.02	100.00	2.10	0.16	11.00	99.52	93.27	100.00	2.04	0.16	11.00	99.52	92.79	100.00	1.91	0.17	10.00	97.60	91.83	100.00	1.86	0.16	10.00	97.60	89.90	100.00	1.83	0.16	10.00	96.63	90.38	100.00	1.90	0.16	10.00	98.08	92.31	100.00
Dominican Republic	DOM	-0.52	0.21	6.00	34.67	21.61	46.23	-0.47	0.22	7.00	36.00	23.00	47.00	-0.61	0.18	8.00	31.68	22.28	42.08	-0.67	0.18	10.00	29.70	17.33	40.59	-0.61	0.18	10.00	31.19	18.32	44.06	-0.67	0.16	13.00	30.62	17.22	39.23	-0.67	0.16	13.00	31.10	19.62	39.71	-0.58	0.15	15.00	33.97	24.40	44.98	-0.61	0.15	15.00	32.06	21.53	44.02	-0.66	0.15	15.00	30.77	20.67	39.42	-0.77	0.14	15.00	26.07	17.06	36.97	-0.81	0.14	15.00	24.64	14.69	33.65	-0.77	0.13	16.00	26.29	16.43	33.80	-0.69	0.14	16.00	30.05	19.25	40.85	-0.53	0.14	16.00	36.62	26.76	45.54	-0.41	0.15	14.00	39.42	29.81	50.48	-0.51	0.15	15.00	35.10	25.48	46.15	-0.40	0.16	14.00	37.02	28.85	50.00	-0.42	0.15	14.00	36.06	28.37	48.08	-0.38	0.14	14.00	39.90	28.85	49.04	-0.35	0.15	14.00	41.83	28.37	50.48
Algeria	DZA	-1.22	0.21	6.00	12.56	4.52	22.11	-1.16	0.21	8.00	12.50	6.00	23.00	-1.21	0.18	8.00	11.88	2.48	21.78	-0.63	0.18	9.00	33.17	18.81	42.57	-0.59	0.18	10.00	31.68	19.31	44.55	-0.62	0.16	13.00	33.49	18.66	42.11	-0.75	0.16	13.00	28.23	16.27	37.80	-0.71	0.15	15.00	27.75	18.66	39.71	-0.77	0.15	16.00	24.88	14.35	35.41	-0.74	0.14	15.00	25.48	16.83	36.54	-0.79	0.14	15.00	23.22	15.64	35.07	-0.78	0.14	15.00	26.54	15.64	34.12	-0.81	0.13	16.00	24.41	15.49	31.46	-0.77	0.14	16.00	26.76	16.43	35.21	-0.69	0.13	16.00	30.99	19.25	40.38	-0.77	0.15	14.00	24.04	13.46	33.17	-0.86	0.15	14.00	19.23	11.54	30.77	-0.86	0.16	13.00	18.75	10.58	31.25	-0.86	0.15	13.00	19.23	10.10	30.77	-0.78	0.16	12.00	22.12	16.35	32.69	-0.82	0.16	12.00	20.67	12.50	31.25
Ecuador	ECU	-0.45	0.21	7.00	38.19	24.62	47.74	-0.55	0.21	8.00	32.50	20.50	45.50	-0.64	0.16	9.00	30.20	22.28	40.59	-0.72	0.18	10.00	28.22	16.83	38.61	-0.74	0.18	11.00	27.23	15.84	40.10	-0.75	0.16	14.00	26.79	15.79	38.28	-0.79	0.16	14.00	25.84	15.31	35.41	-1.03	0.16	15.00	14.83	9.09	25.36	-1.04	0.16	16.00	14.35	8.13	24.40	-1.17	0.15	16.00	10.58	5.29	19.71	-1.25	0.14	17.00	9.00	3.79	15.64	-1.20	0.14	17.00	10.90	4.27	16.59	-1.21	0.14	16.00	10.80	4.69	16.43	-1.13	0.14	17.00	12.68	5.63	19.72	-0.97	0.14	17.00	17.37	10.80	27.70	-1.06	0.15	14.00	12.02	7.21	21.63	-1.03	0.15	15.00	13.94	6.73	23.56	-0.76	0.16	14.00	25.00	14.42	32.69	-0.70	0.16	13.00	25.48	15.38	34.62	-0.64	0.15	13.00	28.37	17.79	38.94	-0.58	0.15	14.00	29.81	20.19	42.31
Egypt. Arab Rep.	EGY	0.00	0.20	7.00	51.76	40.20	62.31	-0.04	0.20	9.00	50.00	39.00	61.00	-0.01	0.16	9.00	50.99	42.08	59.90	0.01	0.18	10.00	54.46	45.05	60.40	0.02	0.18	11.00	53.96	45.05	62.87	0.02	0.16	13.00	52.63	44.50	59.33	-0.02	0.16	13.00	52.63	44.50	58.37	-0.26	0.14	15.00	47.37	39.23	53.11	-0.23	0.15	15.00	48.33	38.28	53.59	-0.13	0.14	16.00	51.44	41.83	58.17	-0.11	0.14	16.00	52.61	45.02	57.82	-0.18	0.14	16.00	49.76	41.23	55.45	-0.45	0.13	17.00	41.78	30.05	47.89	-0.47	0.13	18.00	40.38	30.05	46.95	-0.63	0.13	18.00	33.33	22.07	41.31	-0.66	0.14	16.00	29.33	18.27	37.50	-0.60	0.14	16.00	31.25	20.67	41.83	-0.52	0.16	14.00	32.69	23.56	44.71	-0.54	0.14	15.00	32.69	23.08	41.35	-0.41	0.14	15.00	37.50	27.88	48.08	-0.42	0.14	15.00	37.98	27.40	47.12
Eritrea	ERI	-0.66	0.35	3.00	29.65	12.06	48.24	-0.42	0.29	5.00	37.50	20.50	54.00	-0.56	0.26	5.00	33.66	18.81	48.02	-0.56	0.25	6.00	34.65	16.83	48.02	-0.66	0.26	6.00	29.70	14.36	45.54	-0.86	0.23	8.00	21.05	10.53	37.32	-1.04	0.22	8.00	16.27	7.18	30.62	-1.19	0.18	9.00	11.00	3.83	20.57	-1.28	0.18	9.00	9.09	1.91	15.31	-1.30	0.16	11.00	7.69	2.40	14.90	-1.31	0.16	11.00	7.11	2.37	15.17	-1.35	0.15	11.00	6.16	1.90	12.80	-1.35	0.15	11.00	6.57	1.88	13.62	-1.39	0.15	11.00	5.63	1.41	10.80	-1.41	0.15	12.00	4.23	0.94	11.27	-1.53	0.16	9.00	2.40	0.96	7.21	-1.49	0.16	10.00	3.85	0.96	7.69	-1.63	0.17	10.00	4.33	1.44	8.17	-1.56	0.16	10.00	5.29	1.44	8.17	-1.59	0.16	10.00	5.29	1.44	6.73	-1.60	0.16	10.00	5.29	1.44	6.73
Spain	ESP	1.44	0.19	8.00	90.45	85.43	96.48	1.34	0.20	8.00	90.00	82.00	93.50	1.43	0.16	9.00	90.59	84.16	94.55	1.26	0.18	9.00	86.63	79.21	92.57	1.28	0.18	9.00	86.63	81.19	92.57	1.14	0.17	9.00	85.17	76.08	90.43	1.13	0.17	9.00	86.12	75.60	89.95	1.13	0.16	11.00	87.56	75.12	89.95	1.17	0.16	12.00	86.12	79.90	89.95	1.19	0.16	12.00	85.58	81.25	89.90	1.16	0.15	12.00	86.26	78.67	89.10	1.19	0.16	11.00	86.26	79.62	90.05	1.20	0.14	12.00	85.92	79.81	89.67	1.06	0.15	12.00	83.10	73.71	86.38	1.02	0.15	12.00	81.69	73.24	86.38	0.95	0.16	11.00	80.29	75.48	86.06	0.90	0.16	11.00	79.33	72.60	85.10	0.98	0.17	10.00	80.77	75.00	87.02	1.01	0.16	10.00	81.25	76.44	86.06	0.97	0.16	10.00	80.29	75.00	85.58	0.98	0.16	10.00	80.29	75.00	86.06
Estonia	EST	0.57	0.20	6.00	66.33	59.80	78.39	0.66	0.20	8.00	71.50	63.00	81.00	0.65	0.16	10.00	72.28	64.36	80.69	0.82	0.16	13.00	75.25	67.82	83.17	0.81	0.16	13.00	75.25	66.83	82.67	0.95	0.15	13.00	81.34	70.81	86.12	0.97	0.15	13.00	80.86	70.81	86.60	1.14	0.15	14.00	88.04	77.51	89.95	1.17	0.14	15.00	86.60	81.34	89.47	1.20	0.13	15.00	87.02	81.73	89.42	1.13	0.14	14.00	84.36	78.20	88.15	1.16	0.14	14.00	85.31	79.62	88.15	1.18	0.13	15.00	85.45	79.81	88.73	1.16	0.13	15.00	85.92	78.87	88.26	1.20	0.13	15.00	86.38	80.75	88.73	1.37	0.14	14.00	86.54	84.13	88.94	1.33	0.14	14.00	86.54	82.21	89.42	1.23	0.16	12.00	86.54	80.29	89.42	1.28	0.15	12.00	86.54	82.69	89.42	1.24	0.14	12.00	86.54	80.77	89.42	1.28	0.14	12.00	87.02	81.25	89.90
Ethiopia	ETH	-0.97	0.21	6.00	19.10	9.05	31.66	-0.80	0.21	8.00	24.00	13.50	37.00	-0.93	0.18	9.00	21.29	11.39	29.70	-0.94	0.18	10.00	18.32	9.41	32.18	-0.83	0.18	11.00	23.76	13.86	33.66	-0.86	0.16	13.00	21.53	13.40	33.97	-0.94	0.16	13.00	19.62	11.48	30.62	-0.66	0.14	16.00	30.14	20.57	42.11	-0.65	0.15	16.00	30.14	20.57	41.63	-0.70	0.14	16.00	26.44	19.23	37.98	-0.83	0.14	16.00	22.27	14.69	33.18	-0.80	0.14	16.00	26.07	14.69	33.65	-0.74	0.13	17.00	26.76	17.37	35.21	-0.68	0.13	17.00	31.46	20.19	40.85	-0.65	0.13	17.00	32.39	21.13	41.31	-0.47	0.14	15.00	37.50	27.40	46.63	-0.51	0.14	15.00	35.58	25.96	46.15	-0.49	0.15	14.00	33.65	25.00	45.19	-0.45	0.14	14.00	33.65	25.96	46.63	-0.43	0.14	14.00	36.54	27.40	48.08	-0.47	0.14	14.00	34.62	25.00	46.15
Finland	FIN	1.91	0.19	8.00	98.99	92.96	100.00	2.00	0.20	8.00	100.00	93.50	100.00	1.98	0.16	8.00	100.00	94.55	100.00	1.94	0.18	9.00	99.50	93.07	100.00	2.00	0.18	9.00	100.00	93.56	100.00	1.96	0.17	9.00	99.52	94.26	100.00	1.96	0.17	9.00	100.00	94.26	100.00	1.97	0.17	10.00	99.04	92.82	100.00	1.91	0.17	10.00	98.56	91.87	100.00	1.92	0.17	10.00	98.08	92.31	100.00	1.97	0.16	11.00	100.00	92.89	100.00	1.97	0.16	11.00	100.00	92.89	100.00	1.95	0.15	11.00	100.00	93.43	100.00	1.95	0.15	12.00	99.06	92.49	100.00	1.94	0.15	12.00	99.06	92.49	100.00	2.10	0.16	11.00	100.00	93.27	100.00	2.06	0.16	11.00	100.00	93.27	100.00	2.02	0.17	10.00	99.04	94.23	100.00	2.03	0.16	10.00	100.00	95.19	100.00	2.05	0.16	10.00	100.00	95.19	100.00	2.02	0.16	10.00	100.00	94.23	100.00
Fiji	FJI	0.32	0.32	4.00	61.81	45.23	77.89	0.22	0.28	5.00	59.00	43.00	73.00	-0.42	0.25	5.00	38.61	26.24	50.00	-0.33	0.26	5.00	43.07	27.72	56.93	-0.05	0.25	5.00	51.49	39.60	63.37	0.03	0.23	5.00	54.07	41.63	62.68	-0.05	0.24	5.00	52.15	38.76	60.77	-0.06	0.24	6.00	52.15	39.71	61.24	-0.60	0.24	6.00	32.54	14.83	48.33	-0.56	0.22	6.00	35.58	19.71	49.04	-0.77	0.21	7.00	26.54	13.27	41.23	-0.85	0.21	8.00	23.22	11.37	36.49	-0.82	0.20	8.00	23.47	13.15	38.50	-0.79	0.20	8.00	25.35	13.62	40.85	-0.82	0.20	7.00	22.54	11.74	39.91	-0.51	0.22	6.00	34.62	19.23	50.48	-0.40	0.22	6.00	40.38	24.52	55.77	-0.27	0.30	5.00	44.71	25.00	59.13	-0.25	0.30	4.00	45.67	23.08	60.58	-0.13	0.30	4.00	50.00	28.85	64.42	-0.03	0.30	4.00	52.88	32.21	66.83
France	FRA	1.48	0.19	8.00	91.96	86.43	96.98	1.40	0.20	8.00	91.00	83.50	94.00	1.46	0.16	9.00	91.09	84.16	94.55	1.24	0.18	9.00	85.64	78.71	92.08	1.37	0.18	9.00	89.60	83.17	93.07	1.44	0.17	9.00	91.87	85.17	94.74	1.42	0.17	9.00	90.43	86.60	94.26	1.47	0.16	11.00	90.43	88.04	93.78	1.47	0.16	12.00	90.43	87.08	92.82	1.51	0.16	12.00	90.87	87.50	94.71	1.45	0.15	12.00	90.05	86.26	92.89	1.52	0.16	11.00	90.52	87.20	95.73	1.45	0.14	12.00	90.14	86.38	92.96	1.45	0.15	12.00	90.14	86.38	92.49	1.43	0.15	12.00	89.20	85.92	92.49	1.47	0.16	11.00	88.46	86.06	92.31	1.41	0.16	11.00	88.46	84.13	90.87	1.41	0.17	10.00	88.94	84.62	92.79	1.44	0.16	10.00	89.42	85.58	93.27	1.44	0.16	10.00	88.94	85.10	92.31	1.41	0.16	10.00	89.42	85.10	92.31
